domain,dataset,n_eval,eval_unit,model,config,metric,value,source_doc
brain_age,TDBRAIN+LEMON+HBN,,subjects_10fold,classical,normal,R2,0.74,docs/EEG_FM_ATLAS.md
brain_age,TDBRAIN+LEMON+HBN,,subjects_10fold,Mantis,normal,R2,0.69,docs/EEG_FM_ATLAS.md
brain_age,TDBRAIN+LEMON+HBN,,subjects_10fold,LaBraM,normal,R2,0.67,docs/EEG_FM_ATLAS.md
brain_age,TDBRAIN+LEMON+HBN,,subjects_10fold,MOMENT,normal,R2,0.65,docs/EEG_FM_ATLAS.md
brain_age,TDBRAIN+LEMON+HBN,,subjects_10fold,BIOT,normal,R2,0.64,docs/EEG_FM_ATLAS.md
brain_age,TDBRAIN+LEMON+HBN,,subjects_10fold,LuMamba,normal,R2,0.63,docs/EEG_FM_ATLAS.md
brain_age,TDBRAIN+LEMON+HBN,,subjects_10fold,Chronos-Bolt,normal,R2,0.60,docs/EEG_FM_ATLAS.md
brain_age,TDBRAIN+LEMON+HBN,,subjects_10fold,REVE,normal,R2,0.59,docs/EEG_FM_ATLAS.md
brain_age,TDBRAIN+LEMON+HBN,,subjects_10fold,ZUNA,normal,R2,0.57,docs/EEG_FM_ATLAS.md
bci,TrianaGuzman2024_MI,32,subjects_LOSO,classical,normal,norm_BA,0.598,docs/EEG_FM_ATLAS.md
bci,TrianaGuzman2024_MI,32,subjects_LOSO,classical,identity_free,norm_BA,0.561,docs/EEG_FM_ATLAS.md
bci,TrianaGuzman2024_MI,32,subjects_LOSO,REVE,normal,norm_BA,0.540,docs/EEG_FM_ATLAS.md
bci,TrianaGuzman2024_MI,32,subjects_LOSO,REVE,identity_free,norm_BA,0.515,docs/EEG_FM_ATLAS.md
cogneuro,ERPCORE_mean7,40,subjects_LOSO,classical,normal,LOSO_BA,0.544,docs/EEG_FM_ATLAS.md
cogneuro,ERPCORE_mean7,40,subjects_LOSO,REVE,normal,LOSO_BA,0.641,docs/EEG_FM_ATLAS.md
brain_to_image,Alljoined_sub01,1,subject_smoke,REVE,normal,top1_retrieval,0.167,docs/EEG_FM_ATLAS.md
epilepsy,TUSZ,865,recordings,classical,normal,sens_at_10_FPday,0.409,docs/epilepsy_tusz_results.md
epilepsy,TUSZ,865,recordings,classical,normal,F1,0.534,docs/epilepsy_tusz_results.md
epilepsy,TUSZ,865,recordings,classical,identity_free,sens_at_10_FPday,0.250,docs/epilepsy_tusz_results.md
epilepsy,TUSZ,865,recordings,classical,identity_free,F1,0.483,docs/epilepsy_tusz_results.md
epilepsy,TUSZ,865,recordings,REVE,normal,sens_at_10_FPday,0.197,docs/epilepsy_tusz_results.md
epilepsy,TUSZ,865,recordings,REVE,normal,F1,0.430,docs/epilepsy_tusz_results.md
epilepsy,TUSZ,865,recordings,REVE,identity_free,sens_at_10_FPday,0.000,docs/epilepsy_tusz_results.md
epilepsy,TUSZ,865,recordings,REVE,identity_free,F1,0.337,docs/epilepsy_tusz_results.md
epilepsy,TUSZ,865,recordings,EEGDINO,normal,sens_at_10_FPday,0.382,docs/epilepsy_tusz_results.md
epilepsy,TUSZ,865,recordings,EEGDINO,normal,F1,0.547,docs/epilepsy_tusz_results.md
