paradigm,method,scoring,n_datasets_ok,verdict,verdict_count,verdict_rate,mean_pooled_delta,mean_pertrial_delta
leftright,TCM(classical),native,22,no-transfer,10,0.455,-0.0043,-0.0524
leftright,TCM(classical),native,22,task-carried,12,0.545,-0.0043,-0.0524
leftright,REVE,pooled,17,TRAP,17,1.000,0.1802,
leftright,REVE,pertrial,12,no-transfer,5,0.417,,-0.0058
leftright,REVE,pertrial,12,task-carried,7,0.583,,-0.0058
erp,TCM(classical),native,36,task-carried,23,0.639,-0.0252,-0.0159
erp,TCM(classical),native,36,no-transfer,13,0.361,-0.0252,-0.0159
erp,REVE,pooled,22,TRAP,14,0.636,0.0571,
erp,REVE,pooled,22,task-carried,8,0.364,0.0571,
erp,REVE,pertrial,23,task-carried,22,0.957,,0.0009
erp,REVE,pertrial,23,no-transfer,1,0.043,,0.0009
ssvep,TCM(classical),native,8,no-transfer,5,0.625,0.0104,-0.0014
ssvep,TCM(classical),native,8,task-carried,3,0.375,0.0104,-0.0014
ssvep,REVE,pooled,6,TRAP,3,0.500,0.0591,
ssvep,REVE,pooled,6,no-transfer,3,0.500,0.0591,
ssvep,REVE,pertrial,6,no-transfer,4,0.667,,0.0031
ssvep,REVE,pertrial,6,task-carried,1,0.167,,0.0031
ssvep,REVE,pertrial,6,TRAP,1,0.167,,0.0031
