dataset,paradigm,n_subjects,pipeline,pipe_raw_auc,pipe_deconf_auc,pipe_delta,fm_raw_ba,fm_identity_free_ba,fm_delta,fm_subject_frac,fm_label_frac,fm_c_bar,fm_verdict,fm_model,fm_layer,status
BNCI2014-001,LeftRightImagery,9,TS+LR,0.6952535579561042,0.695360725308642,-0.00010716735253779586,,,,,,,,,,ok
BNCI2014-004,LeftRightImagery,9,CSP+LDA,0.6458101284222226,0.5398356987492998,0.10597442967292281,,,,,,,,,,ok
Cho2017,LeftRightImagery,52,TS+LR,0.6525168269230769,0.6520526709401709,0.00046415598290594495,,,,,,,,,,ok
Dreyer2023,LeftRightImagery,87,TS+LR,0.6978190702959178,0.6928458502730868,0.004973220022831071,,,,,,,,,,ok
Dreyer2023A,LeftRightImagery,60,TS+LR,0.6915253545528135,0.6904930132239732,0.001032341328840336,,,,,,,,,,ok
Dreyer2023B,LeftRightImagery,21,TS+LR,0.6671064814814814,0.6666600529100528,0.00044642857142862535,,,,,,,,,,ok
Dreyer2023C,LeftRightImagery,6,TS+LR,0.722025462962963,0.7224421296296297,-0.0004166666666667318,,,,,,,,,,ok
Lee2019-MI,LeftRightImagery,54,TS+LR,0.7179222222222221,0.7163351851851851,0.001587037037036998,,,,,,,,,,ok
Liu2024,LeftRightImagery,50,,,,,,,,,,,,,,FAILED: BadZipFile: File is not a zip file
Schirrmeister2017,LeftRightImagery,14,TS+LR,0.7083875725275863,0.7085001398086248,-0.00011256728103847813,,,,,,,,,,ok
Shin2017A,LeftRightImagery,29,TS+LR,0.7459386973180077,0.7417241379310345,0.004214559386973127,,,,,,,,,,ok
Weibo2014,LeftRightImagery,10,TS+LR,0.6738402423469387,0.6665908801020408,0.007249362244897917,,,,,,,,,,ok
Zhou2016,LeftRightImagery,4,TS+LR,0.8293721084886965,0.8280110019269262,0.0013611065617702423,,,,,,,,,,ok
