dataset,paradigm,n_subjects,n_recordings,n_windows,label_frac,subject_frac,residual_frac,excess_label_ratio,excess_subject_ratio,c_bar_value,raw_label_ba,identity_free_label_ba,erasure_delta,erasure_interpretable,layer_label_ba_first,layer_label_ba_last,layer_label_ba_max,layer_argmax_depth,layer_sign,state_drop,subject_drop,oneoverf_role,verdict,layer,model,status
BrainInvaders2012,P300,25,48,18376,0.012819249295281358,0.9304923873328391,0.05668836337187955,11.526965025415844,61.28378018111902,0.1172669814114309,0.7777777777777777,0.8472222222222223,0.06944444444444449,True,nan,nan,nan,nan,,nan,nan,,TRAP,6,brain-bzh/reve-base,ok
BrainInvaders2013a,P300,24,48,34584,0.01870696876573808,0.9203280336440114,0.060964997590250536,17.578867405416744,75.265126796613,0.21661543820029128,0.8333333333333334,0.9027777777777777,0.06944444444444442,True,nan,nan,nan,nan,,nan,nan,,TRAP,6,brain-bzh/reve-base,ok
BrainInvaders2014a,P300,64,48,20184,0.006546336903195758,0.9546708389189676,0.03878282417783663,4.009007615961244,53.96089233160944,0.16129493007563717,0.75,0.7777777777777777,0.027777777777777752,True,nan,nan,nan,nan,,nan,nan,,TRAP,6,brain-bzh/reve-base,ok
BrainInvaders2014b,P300,38,48,5784,0.019706154079082737,0.8883586463772978,0.0919351995436195,4.668925779419326,15.730120549275417,0.14660074477291848,0.75,0.8402777777777777,0.09027777777777779,True,nan,nan,nan,nan,,nan,nan,,TRAP,6,brain-bzh/reve-base,ok
BrainInvaders2015a,P300,43,48,38040,0.028353078732939043,0.9381741036371395,0.03347281762992149,37.34221510144628,111.8741711402231,0.4555010459285216,0.9097222222222223,0.9583333333333334,0.048611111111111015,True,nan,nan,nan,nan,,nan,nan,,TRAP,6,brain-bzh/reve-base,ok
BrainInvaders2015b,P300,44,48,63300,0.023579564799990155,0.8769328674760505,0.09948756772395939,64.66688635800061,159.39707213124018,0.30134226496403865,0.8263888888888888,0.8125,-0.013888888888888876,True,nan,nan,nan,nan,,nan,nan,,task-carried,6,brain-bzh/reve-base,ok
BNCI2014-008,P300,8,16,33600,0.08047306874104178,0.761470200572318,0.15805673068664028,13.680023061402235,31.687986511222938,0.2627410901135965,0.9375,0.9375,0.0,True,nan,nan,nan,nan,,nan,nan,,task-carried,6,brain-bzh/reve-base,ok
BNCI2014-009,P300,10,20,17280,0.2175641838700498,0.5512047045206124,0.23123111160933774,63.37212563491901,26.335108200732613,0.5131313732523919,1.0,1.0,0.0,True,nan,nan,nan,nan,,nan,nan,,task-carried,6,brain-bzh/reve-base,ok
BNCI2015-003,P300,10,20,25200,0.020136838580882537,0.8349737366624604,0.144889424756657,7.8255045415870725,54.200564659556726,-0.005322266847669271,0.7833333333333333,0.7999999999999999,0.016666666666666646,True,nan,nan,nan,nan,,nan,nan,,task-carried,6,brain-bzh/reve-base,ok
Cattan2019-VR,P300,21,42,15120,0.015178811737762227,0.9046523424268108,0.08016884583542694,6.9705911293164675,35.665587138929105,0.09597985816342008,0.7380952380952381,0.753968253968254,0.015873015873015855,True,nan,nan,nan,nan,,nan,nan,,task-carried,6,brain-bzh/reve-base,ok
DemonsP300,P300,60,48,22620,0.009204366736858356,0.8631035333870448,0.12769209987609687,5.390313482114744,69.94763926648926,0.0367639304345636,0.6388888888888888,0.6319444444444443,-0.006944444444444457,True,nan,nan,nan,nan,,nan,nan,,task-carried,6,brain-bzh/reve-base,ok
EPFLP300,P300,8,,,,,,,,,,,,,,,,,,,,,,6,brain-bzh/reve-base,"FAILED: ConnectionError: HTTPConnectionPool(host='documents.epfl.ch', port=80): Max retries exceeded with url: /groups/m/mm/mmspg/www/BCI/p300/subject1.zip (Caused by NewConnectionError(""HTTPConnectio"
ErpCore2021-ERN,P300,40,48,9581,0.09717630561921789,0.67960627374852,0.22321742063226213,29.65145740129272,22.327701167636327,0.28858640961926807,0.9652777777777778,0.9305555555555557,-0.034722222222222245,True,nan,nan,nan,nan,,nan,nan,,task-carried,6,brain-bzh/reve-base,ok
ErpCore2021-LRP,P300,40,48,9581,0.008967426713836818,0.938236682361766,0.05279589092439718,5.996130769653895,27.16633842481803,0.10444832762888559,0.9305555555555557,1.0,0.06944444444444442,True,nan,nan,nan,nan,,nan,nan,,TRAP,6,brain-bzh/reve-base,ok
ErpCore2021-MMN,P300,40,48,23834,0.005789224106210258,0.9366433946650862,0.05756738122870353,2.6753947600717756,29.492342962983496,0.0466615362251465,0.7083333333333334,0.8263888888888888,0.11805555555555543,True,nan,nan,nan,nan,,nan,nan,,TRAP,6,brain-bzh/reve-base,ok
ErpCore2021-N170,P300,40,48,7680,0.008135145267009914,0.9012792380524247,0.09058561668056542,4.252170505926705,27.1288070011507,0.04837276382744797,0.75,0.875,0.12499999999999993,True,nan,nan,nan,nan,,nan,nan,,TRAP,6,brain-bzh/reve-base,ok
ErpCore2021-N2pc,P300,40,48,7687,0.007722212529311937,0.9369276472450458,0.05535014022564222,4.055516804747836,20.930104647068752,0.0929854054135621,0.7708333333333334,0.9375,0.16666666666666663,True,nan,nan,nan,nan,,nan,nan,,TRAP,6,brain-bzh/reve-base,ok
ErpCore2021-N400,P300,40,48,2880,0.04080388054361576,0.8256166248929104,0.13357949456347384,10.423950129644062,9.203883002239333,0.2062815343535001,0.6875,0.861111111111111,0.17361111111111113,True,nan,nan,nan,nan,,nan,nan,,TRAP,6,brain-bzh/reve-base,ok
ErpCore2021-P3,P300,40,48,4800,0.05340988514890685,0.8087449294689765,0.13784518538211665,14.981312377621268,15.499343389191178,0.2374011584650053,0.7569444444444443,0.798611111111111,0.041666666666666664,True,nan,nan,nan,nan,,nan,nan,,TRAP,6,brain-bzh/reve-base,ok
Huebner2017,P300,13,26,162757,0.018714025443480442,0.9177042638685348,0.0635817106879848,41.16249542564783,220.74031082340053,0.23745662754015118,0.923076923076923,1.0,0.07692307692307687,True,nan,nan,nan,nan,,nan,nan,,TRAP,6,brain-bzh/reve-base,ok
Huebner2018,P300,12,24,171286,0.028718082959801793,0.8909675380497833,0.08031437899041483,52.08962403591985,192.7770963457294,0.20562330977542187,0.9027777777777777,1.0,0.09722222222222225,True,nan,nan,nan,nan,,nan,nan,,TRAP,6,brain-bzh/reve-base,ok
Kojima2024A,P300,11,22,11720,0.10548781765845978,0.7492365268607661,0.14527565548077404,24.96858715918749,17.99579483305266,0.4074503224144749,0.8636363636363636,0.9545454545454546,0.09090909090909094,True,nan,nan,nan,nan,,nan,nan,,TRAP,6,brain-bzh/reve-base,ok
Kojima2024B,P300,15,,,,,,,,,,,,,,,,,,,,,,6,brain-bzh/reve-base,FAILED: ValueError: No objects to concatenate
Lee2019-ERP,P300,54,48,198720,0.09916365890881777,0.7756615173776442,0.12517482371353805,207.86355275391742,114.44861835064467,0.5157062680870935,0.9444444444444443,0.9583333333333334,0.01388888888888884,True,nan,nan,nan,nan,,nan,nan,,task-carried,6,brain-bzh/reve-base,ok
RomaniBF2025ERP,P300,22,,,,,,,,,,,,,,,,,,,,,,6,brain-bzh/reve-base,FAILED: ValueError: No objects to concatenate
Sosulski2019,P300,13,,,,,,,,,,,,,,,,,,,,,,6,brain-bzh/reve-base,FAILED: BadZipFile: File is not a zip file
