dataset,paradigm,n_subjects,n_recordings,n_windows,label_frac,subject_frac,residual_frac,excess_label_ratio,excess_subject_ratio,c_bar_value,raw_label_ba,identity_free_label_ba,erasure_delta,erasure_interpretable,verdict,layer,model,status
BNCI2014-001,LeftRightImagery,9,18,2592,0.013877137978181242,0.892738443875896,0.0933844181459228,1.3114378949094423,10.658120724339321,0.02823087626009666,0.6666666666666666,0.9629629629629629,0.2962962962962962,True,TRAP,6,brain-bzh/reve-base,ok
BNCI2014-004,LeftRightImagery,9,18,6520,0.011770708327085454,0.9158797971442003,0.0723494945287142,2.020935961351487,19.545784919788353,0.054995560804538546,0.8888888888888888,1.0,0.11111111111111116,True,TRAP,6,brain-bzh/reve-base,ok
Weibo2014,LeftRightImagery,10,20,1580,0.005212980512583074,0.908741006524696,0.08604601296272085,0.5447997597466986,10.583807448742432,-0.040246423593410074,0.5,0.6999999999999998,0.19999999999999996,False,TRAP,6,brain-bzh/reve-base,ok
Zhou2016,LeftRightImagery,4,8,1199,0.05527286181063232,0.8222307980792711,0.12249634011009658,1.0829615523592184,5.707576299588649,0.07813436396211135,0.75,1.0,0.25,True,TRAP,6,brain-bzh/reve-base,ok
Cho2017,LeftRightImagery,52,104,10520,0.005371971459292524,0.9101069297304846,0.08452109881022296,3.7847950109176165,12.62000393615358,0.031061663792439728,0.7147435897435898,0.907051282051282,0.19230769230769237,True,TRAP,6,brain-bzh/reve-base,ok
Dreyer2023,LeftRightImagery,87,174,20792,0.0011069445783891316,0.9405253578092514,0.05836769761235949,1.6312283364095694,15.678518617267905,0.0077300362261131135,0.7088122605363983,0.9655172413793104,0.2567049808429119,True,TRAP,6,brain-bzh/reve-base,ok
Dreyer2023A,LeftRightImagery,60,120,14312,0.001802964359393729,0.9423405028253449,0.05585653281526137,1.8680284112261978,15.71778064217542,0.018589471161367156,0.7138888888888889,0.9444444444444443,0.23055555555555554,True,TRAP,6,brain-bzh/reve-base,ok
Dreyer2023B,LeftRightImagery,21,42,5040,0.00522906719034848,0.9100923424275258,0.08467859038212577,1.3148249766807423,11.530999937392439,0.0024325126263880876,0.7142857142857143,0.9523809523809522,0.2380952380952381,True,TRAP,6,brain-bzh/reve-base,ok
Dreyer2023C,LeftRightImagery,6,12,1440,0.02653312112974563,0.8509429278309677,0.1225239510392867,1.206336737681165,8.036566854246358,0.008136007808432495,0.6388888888888888,0.8333333333333334,0.1944444444444445,True,TRAP,6,brain-bzh/reve-base,ok
HefmiIch2025,LeftRightImagery,37,74,2940,0.0015868750792917099,0.9276935776726931,0.07071954724801521,0.7719422312485587,11.530535694958143,-0.007500903190374214,0.5720720720720721,0.6126126126126126,0.040540540540540536,True,TRAP,6,brain-bzh/reve-base,ok
Kaya2018,LeftRightImagery,7,14,11096,0.01135620657573783,0.9540544362431224,0.03458935718113976,7.131140587758327,114.23928632542233,0.12785342631858077,0.8333333333333334,0.9761904761904763,0.14285714285714288,True,TRAP,6,brain-bzh/reve-base,ok
Kumar2024,LeftRightImagery,18,36,7156,0.0006215399212078146,0.9923336154130366,0.007044844665755612,1.769731040892553,155.34421258632898,-0.007896416368059864,0.6481481481481481,0.9722222222222222,0.32407407407407407,True,TRAP,6,brain-bzh/reve-base,ok
Lee2019-MI,LeftRightImagery,54,108,5400,0.004158485739607674,0.8552111363230825,0.14063037793730981,1.6442616862190804,6.535534130851677,0.009019548158245797,0.6975308641975309,0.8580246913580248,0.1604938271604938,True,TRAP,6,brain-bzh/reve-base,ok
Liu2024,LeftRightImagery,50,100,2000,0.002231345897297119,0.8926605839400715,0.10510807016263135,0.9849212710319859,8.088375478532944,-0.00499492114446436,0.5733333333333334,0.5800000000000001,0.006666666666666672,True,TRAP,6,brain-bzh/reve-base,ok
Schirrmeister2017,LeftRightImagery,14,28,6742,0.003310605272973603,0.952017663982847,0.044671730744179405,1.1254268057434405,24.57971118960185,0.0030568925119837504,0.6904761904761906,0.9642857142857143,0.2738095238095238,True,TRAP,6,brain-bzh/reve-base,ok
GrosseWentrup2009,LeftRightImagery,10,,,,,,,,,,,,,,6,brain-bzh/reve-base,"FAILED: ValueError: none of the input electrode_names are in REVE's position vocabulary; got ['1', '2', '3', '4', '5', '6', '7', '8']..."
Shin2017A,LeftRightImagery,29,58,1740,0.004364814536720812,0.8936908395538192,0.10194434590946,1.3023268825283523,9.212660448164616,0.0022719629435658363,0.5632183908045977,0.689655172413793,0.1264367816091954,True,TRAP,6,brain-bzh/reve-base,ok
Stieger2021,LeftRightImagery,62,124,119718,0.00586956022691397,0.9760250660535886,0.018105373719497386,42.93801108029045,123.4337557834559,0.23656444577063562,0.9811827956989246,1.0,0.018817204301075252,True,TRAP,6,brain-bzh/reve-base,ok
PhysionetMotorImagery,LeftRightImagery,109,,,,,,,,,,,,,,6,brain-bzh/reve-base,"FAILED: ValueError: operands could not be broadcast together with shapes (602,) (601,) "
