dataset,paradigm,n_subjects,n_recordings,n_windows,label_frac,subject_frac,residual_frac,excess_label_ratio,excess_subject_ratio,c_bar_value,raw_label_ba,identity_free_label_ba,erasure_delta,erasure_interpretable,layer_label_ba_first,layer_label_ba_last,layer_label_ba_max,layer_argmax_depth,layer_sign,state_drop,subject_drop,oneoverf_role,verdict,layer,model,status
BNCI2014-001,LeftRightImagery,9,18,2592,0.013877137978181242,0.892738443875896,0.0933844181459228,1.3114378949094425,10.658120724339323,0.02823087626009666,0.5369084362139918,0.5393518518518519,0.0024434156378601393,False,nan,nan,nan,nan,,nan,nan,,no-transfer,6,brain-bzh/reve-base,ok
BNCI2014-004,LeftRightImagery,9,18,6520,0.011770708327085454,0.9158797971442003,0.0723494945287142,2.0209359613514857,19.54578491978834,0.054995560804538546,0.6718302658486707,0.6721370143149284,0.00030674846625766694,True,nan,nan,nan,nan,,nan,nan,,task-carried,6,brain-bzh/reve-base,ok
Cho2017,LeftRightImagery,52,104,10520,0.005371971459292525,0.9101069297304847,0.08452109881022274,3.784795010917618,12.620003936153584,0.031061663792439728,0.6213878326996197,0.6183776932826363,-0.0030101394169834705,True,nan,nan,nan,nan,,nan,nan,,task-carried,6,brain-bzh/reve-base,ok
Dreyer2023,LeftRightImagery,87,174,20792,0.0011069445783891316,0.9405253578092514,0.05836769761235949,1.6312283364095717,15.678518617267919,0.0077300362261131135,0.5923285900278653,0.5775130901036076,-0.014815499924257569,True,nan,nan,nan,nan,,nan,nan,,task-carried,6,brain-bzh/reve-base,ok
Dreyer2023A,LeftRightImagery,60,120,14312,0.0018029643593937288,0.9423405028253448,0.055856532815261484,1.8680284112261971,15.717780642175413,0.018589471161367156,0.5894610991560254,0.5735044705875859,-0.015956628568439452,True,nan,nan,nan,nan,,nan,nan,,task-carried,6,brain-bzh/reve-base,ok
Dreyer2023B,LeftRightImagery,21,42,5040,0.00522906719034848,0.9100923424275258,0.08467859038212577,1.314824976680742,11.530999937392437,0.0024325126263880876,0.5765873015873015,0.5770502645502645,0.0004629629629629613,True,nan,nan,nan,nan,,nan,nan,,task-carried,6,brain-bzh/reve-base,ok
Dreyer2023C,LeftRightImagery,6,12,1440,0.02653312112974563,0.8509429278309677,0.1225239510392867,1.206336737681165,8.036566854246356,0.008136007808432495,0.5317129629629629,0.5298611111111111,-0.0018518518518518452,False,nan,nan,nan,nan,,nan,nan,,no-transfer,6,brain-bzh/reve-base,ok
GrosseWentrup2009,LeftRightImagery,10,,,,,,,,,,,,,,,,,,,,,,6,brain-bzh/reve-base,"FAILED: ValueError: none of the input electrode_names are in REVE's position vocabulary; got ['1', '2', '3', '4', '5', '6', '7', '8']..."
Lee2019-MI,LeftRightImagery,54,108,10800,0.002949505914013687,0.9045791176702397,0.09247137641574665,1.7650673350704624,10.130869156497521,0.012985201431210038,0.5869135802469135,0.5816666666666667,-0.0052469135802469076,True,nan,nan,nan,nan,,nan,nan,,task-carried,6,brain-bzh/reve-base,ok
Liu2024,LeftRightImagery,50,,,,,,,,,,,,,,,,,,,,,,6,brain-bzh/reve-base,FAILED: BadZipFile: File is not a zip file
PhysionetMotorImagery,LeftRightImagery,109,,,,,,,,,,,,,,,,,,,,,,6,brain-bzh/reve-base,"FAILED: ValueError: operands could not be broadcast together with shapes (602,) (601,) "
Schirrmeister2017,LeftRightImagery,14,28,6742,0.003310605272973603,0.952017663982847,0.044671730744179405,1.1254268057434407,24.57971118960186,0.0030568925119837504,0.5457296546998438,0.5509244690375033,0.005194814337659411,False,nan,nan,nan,nan,,nan,nan,,no-transfer,6,brain-bzh/reve-base,ok
Shin2017A,LeftRightImagery,29,58,1740,0.004364814536720812,0.8936908395538192,0.10194434590946,1.3023268825283523,9.212660448164616,0.0022719629435658363,0.5408045977011494,0.5367816091954023,-0.004022988505747153,False,nan,nan,nan,nan,,nan,nan,,no-transfer,6,brain-bzh/reve-base,ok
Stieger2021,LeftRightImagery,62,124,119718,0.00586956022691397,0.9760250660535886,0.018105373719497386,42.93801108029045,123.4337557834559,0.23656444577063562,0.7303077942076461,0.7103512522070733,-0.019956542000572768,True,nan,nan,nan,nan,,nan,nan,,task-carried,6,brain-bzh/reve-base,ok
Weibo2014,LeftRightImagery,10,20,1580,0.005212980512583076,0.9087410065246962,0.08604601296272063,0.5447997597466987,10.58380744874243,-0.040246423593410074,0.529746835443038,0.5166666666666666,-0.013080168776371304,False,nan,nan,nan,nan,,nan,nan,,no-transfer,6,brain-bzh/reve-base,ok
Zhou2016,LeftRightImagery,4,,,,,,,,,,,,,,,,,,,,,,6,brain-bzh/reve-base,FAILED: ValueError: Cannot have number of splits n_splits=5 greater than the number of groups: 4.
