dataset,n_subjects,n_trials,n_channels,Ks,Kt,n_feat,pooled_raw,pooled_erased,pooled_delta,pertrial_raw,pertrial_erased,pertrial_delta,subj_ba_pre,subj_ba_post,subj_chance,interpretable,degenerate,verdict,status
BNCI2014-001,9,2592,22,2,386,772,0.537,0.6481,0.1111,0.5131,0.5095,-0.0036,0.3578,0.0411,0.1111,False,False,no-transfer,ok
BNCI2014-004,9,6520,3,3,269,807,0.8519,1.0,0.1481,0.6322,0.6277,-0.0046,0.2178,0.1011,0.1111,True,False,task-carried,ok
Cho2017,52,10520,64,1,3,3,0.5128,0.5,-0.0128,0.5025,0.5,-0.0025,0.0388,0.0192,0.0192,False,True,no-transfer,ok
Dreyer2023,87,20792,27,2,2,4,0.5153,0.5,-0.0153,0.5077,0.5,-0.0077,0.03,0.0115,0.0115,False,True,no-transfer,ok
Dreyer2023A,60,14312,27,2,2,4,0.5,0.5,0.0,0.5028,0.5001,-0.0027,0.0437,0.0167,0.0167,False,True,no-transfer,ok
Dreyer2023B,21,5040,27,8,504,4032,0.9286,0.9762,0.0476,0.6335,0.6309,-0.0026,0.2071,0.0071,0.0476,True,False,task-carried,ok
Dreyer2023C,6,1440,27,5,513,2565,0.75,0.8333,0.0833,0.5505,0.5505,-0.0,0.3767,0.0233,0.1667,True,False,task-carried,ok
GrosseWentrup2009,10,3000,128,11,781,8591,0.9167,0.9833,0.0667,0.558,0.5564,-0.0016,0.39,0.058,0.1,True,False,task-carried,ok
Lee2019-MI,54,10800,62,5,330,1650,0.7932,0.8981,0.1049,0.5752,0.5702,-0.0051,0.1796,0.0015,0.0185,True,False,task-carried,ok
Liu2024,,,,,,,,,,,,,,,,,,,FAILED: BadZipFile
PhysionetMotorImagery,,,,,,,,,,,,,,,,,,,FAILED: ValueError
Schirrmeister2017,14,6742,128,12,413,4956,0.8214,1.0,0.1786,0.5917,0.5908,-0.0009,0.4186,0.0421,0.0714,True,False,task-carried,ok
Shin2017A,29,1740,30,1,2,2,0.5172,0.5,-0.0172,0.517,0.5,-0.017,0.042,0.0345,0.0345,False,True,no-transfer,ok
Stieger2021,62,119718,60,7,277,1939,0.9892,1.0,0.0108,0.7902,0.7446,-0.0456,0.1024,0.0279,0.0161,True,False,task-carried,ok
Weibo2014,10,1580,60,4,162,648,0.6,0.55,-0.05,0.5065,0.5082,0.0017,0.249,0.039,0.1,False,False,no-transfer,ok
Zhou2016,,,,,,,,,,,,,,,,,,,FAILED: ValueError
