dataset,paradigm,n_subjects,n_recordings,n_windows,label_frac,subject_frac,residual_frac,excess_label_ratio,excess_subject_ratio,c_bar_value,raw_label_ba,identity_free_label_ba,erasure_delta,erasure_interpretable,layer_label_ba_first,layer_label_ba_last,layer_label_ba_max,layer_argmax_depth,layer_sign,state_drop,subject_drop,oneoverf_role,verdict,layer,model,status
BNCI2014-008,P300,8,16,33600,0.08047306874104178,0.761470200572318,0.15805673068664028,13.680023061402235,31.687986511222938,0.2627410901135965,0.9375,0.9375,0.0,True,0.5329861111111112,0.5473090277777778,0.5885416666666666,0.3181818181818182,+early,0.06076388888888884,0.1732638888888889,subject confound;state signal,TRAP,6,brain-bzh/reve-base,ok
BNCI2014-009,P300,10,20,17280,0.2175641838700498,0.5512047045206124,0.23123111160933774,63.37212563491901,26.335108200732613,0.5131313732523919,1.0,1.0,0.0,True,0.6260850694444445,0.6475694444444444,0.7348090277777777,0.13636363636363635,+early,0.15690104166666674,0.06684027777777773,subject confound;state signal,TRAP,6,brain-bzh/reve-base,ok
ErpCore2021-N170,P300,40,80,12800,0.00976292942507285,0.9059829737432965,0.08425409683163065,8.630780292048614,26.116057492160284,0.08382760499642987,0.7791666666666667,0.9,0.1208333333333333,True,0.5671502976190476,0.5875972985347986,0.6396233974358975,0.18181818181818182,+early,0.07955586080586086,0.42654172602089263,subject confound;state signal,TRAP,6,brain-bzh/reve-base,ok
ErpCore2021-P3,P300,40,80,8000,0.057235767126531965,0.8184849589884459,0.12427927388502213,28.12046451216255,15.513788367431022,0.2844062912996954,0.7666666666666666,0.8708333333333332,0.1041666666666667,True,0.6005580357142857,0.6279447115384615,0.6470495650183151,0.36363636363636365,,0.02888335622710614,0.38746587132003785,subject confound,TRAP,6,brain-bzh/reve-base,ok
Sosulski2019,P300,13,,,,,,,,,,,,,,,,,,,,,,6,brain-bzh/reve-base,FAILED: BadZipFile: File is not a zip file
ErpCore2021-ERN,P300,40,80,15972,0.10012794456914874,0.6823184945847702,0.21755356084608102,44.217654069306505,21.842466129342235,0.2992200485870472,0.9874999999999999,0.9875000000000002,3.700743415417188e-17,True,0.6425316426425672,0.6928672122594174,0.7775289818862404,0.18181818181818182,+early,0.12398034604351282,0.220037262802505,subject confound;state signal,TRAP,6,brain-bzh/reve-base,ok
ErpCore2021-LRP,P300,40,80,15972,0.00860800073349438,0.9382457146969758,0.053146284569529856,8.54665154338224,24.528861475285108,0.1208309804894018,0.8916666666666666,1.0,0.10833333333333332,True,0.558121565934066,0.5480339972527473,0.6357886904761904,0.3181818181818182,+early,0.10994734432234421,0.4122892924976259,subject confound;state signal,TRAP,6,brain-bzh/reve-base,ok
ErpCore2021-MMN,P300,40,80,39832,0.006481715220360634,0.9267215797029368,0.06679670507670254,4.295803531289324,25.606381271400732,0.064679850651873,0.8041666666666667,0.8874999999999998,0.08333333333333326,True,0.5191306089743589,0.5215201465201466,0.5502518315018315,0.09090909090909091,,0.021291208791208827,0.3228647317188984,subject confound,TRAP,6,brain-bzh/reve-base,ok
ErpCore2021-N2pc,P300,40,80,12807,0.00433285879723267,0.9432396333026722,0.052427507900095094,3.9404679562377742,21.306474639410325,0.05543306664134623,0.7166666666666667,0.9041666666666667,0.1875,True,0.5266569368131868,0.5215344551282052,0.5536572802197802,0.22727272727272727,,0.03116414835164827,0.3993500712250713,subject confound;state signal,TRAP,6,brain-bzh/reve-base,ok
ErpCore2021-N400,P300,40,80,4800,0.03549266545905521,0.8349488984636068,0.12955843607733808,14.60670563311528,8.909557482566433,0.18698943669821227,0.7583333333333333,0.9708333333333332,0.2125,True,0.588446275946276,0.592979242979243,0.6187728937728938,0.18181818181818182,,0.0462454212454213,0.403505856283634,subject confound;state signal,TRAP,6,brain-bzh/reve-base,ok
