dataset,paradigm,n_subjects,n_recordings,n_windows,label_frac,subject_frac,residual_frac,excess_label_ratio,excess_subject_ratio,c_bar_value,raw_label_ba,identity_free_label_ba,erasure_delta,erasure_interpretable,layer_label_ba_first,layer_label_ba_last,layer_label_ba_max,layer_argmax_depth,layer_sign,state_drop,subject_drop,oneoverf_role,verdict,layer,model,status
Zhou2016,LeftRightImagery,4,8,1199,0.05527286181063232,0.8222307980792711,0.12249634011009658,1.0829615523592182,5.7075762995886485,0.07813436396211135,0.75,1.0,0.25,True,0.5208333333333334,0.55859375,0.6119791666666666,0.4090909090909091,,0.06510416666666663,0.2864583333333334,subject confound;state signal,TRAP,6,brain-bzh/reve-base,ok
BNCI2014-001,LeftRightImagery,9,18,2592,0.013877137978181242,0.892738443875896,0.0933844181459228,1.3114378949094425,10.658120724339323,0.02823087626009666,0.6666666666666666,0.9629629629629629,0.2962962962962962,True,0.5043402777777778,0.5425347222222222,0.5598958333333334,0.4090909090909091,,0.047743055555555636,0.17708333333333343,subject confound;state signal,TRAP,6,brain-bzh/reve-base,ok
BNCI2014-004,LeftRightImagery,9,18,6520,0.011770708327085454,0.9158797971442003,0.0723494945287142,2.0209359613514857,19.54578491978834,0.054995560804538546,0.8888888888888888,1.0,0.11111111111111116,True,0.5798611111111112,0.6015625,0.6336805555555555,0.6818181818181818,,0.08854166666666663,0.11545138888888895,subject confound;state signal,TRAP,6,brain-bzh/reve-base,ok
Cho2017,LeftRightImagery,52,104,10520,0.005371971459292525,0.9101069297304847,0.08452109881022274,3.784795010917618,12.620003936153584,0.031061663792439728,0.7147435897435898,0.907051282051282,0.19230769230769237,True,0.5476324210239651,0.5717847903050108,0.627850966775599,0.2727272727272727,+early,0.11273658769063177,0.41733630952380957,subject confound;state signal,TRAP,6,brain-bzh/reve-base,ok
Dreyer2023,LeftRightImagery,87,174,20792,0.0011069445783891316,0.9405253578092514,0.05836769761235949,1.6312283364095717,15.678518617267919,0.0077300362261131135,0.7088122605363983,0.9655172413793104,0.2567049808429119,True,0.53125,0.5678879310344828,0.6007543103448276,0.3181818181818182,,0.08943965517241381,0.500628591954023,subject confound;state signal,TRAP,6,brain-bzh/reve-base,ok
Dreyer2023A,LeftRightImagery,60,120,14312,0.0018029643593937288,0.9423405028253448,0.055856532815261484,1.8680284112261971,15.717780642175413,0.018589471161367156,0.7138888888888889,0.9444444444444443,0.23055555555555554,True,0.5354166666666668,0.5563802083333333,0.596484375,0.36363636363636365,,0.07460937499999998,0.5088541666666667,subject confound;state signal,TRAP,6,brain-bzh/reve-base,ok
Dreyer2023B,LeftRightImagery,21,42,5040,0.00522906719034848,0.9100923424275258,0.08467859038212577,1.314824976680742,11.530999937392437,0.0024325126263880876,0.7142857142857143,0.9523809523809522,0.2380952380952381,True,0.5215773809523809,0.546875,0.5829613095238095,0.36363636363636365,,0.0323660714285714,0.40922619047619047,subject confound;state signal,TRAP,6,brain-bzh/reve-base,ok
Dreyer2023C,LeftRightImagery,6,12,1440,0.02653312112974563,0.8509429278309677,0.1225239510392867,1.206336737681165,8.036566854246356,0.008136007808432495,0.6388888888888888,0.8333333333333334,0.1944444444444445,True,0.4739583333333333,0.5286458333333334,0.5286458333333334,1.0,,0.0,0.27213541666666663,subject confound,TRAP,6,brain-bzh/reve-base,ok
GrosseWentrup2009,LeftRightImagery,10,,,,,,,,,,,,,,,,,,,,,,6,brain-bzh/reve-base,"FAILED: ValueError: none of the input electrode_names are in REVE's position vocabulary; got ['1', '2', '3', '4', '5', '6', '7', '8']..."
Lee2019-MI,LeftRightImagery,54,108,10800,0.002949505914013687,0.9045791176702397,0.09247137641574665,1.7650673350704624,10.130869156497521,0.012985201431210038,0.7530864197530865,0.888888888888889,0.1358024691358025,True,0.5224247685185185,0.5513599537037038,0.5844907407407407,0.36363636363636365,,0.07248263888888895,0.3480902777777778,subject confound;state signal,TRAP,6,brain-bzh/reve-base,ok
